index,x,y,width,height
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
6,0.0,0.0,128,128
